kilometers_since_last_stop,stop_category
220.669,restaurant
30.303,tourist_attraction
112.566,gas_station
28.755,gas_station
303.229,restaurant
498.400,electric_vehicle_charging_station
64.178,rest_stop
0.253,shopping_mall
76.421,restaurant
313.284,restaurant
11.494,electric_vehicle_charging_station
76.153,restaurant
73.110,restaurant
31.409,restaurant
13.996,electric_vehicle_charging_station
192.267,shopping_mall
0.569,tourist_attraction
0.588,gas_station
56.769,restaurant
166.898,restaurant
30.239,electric_vehicle_charging_station
135.464,restaurant
